STATISTIC,REGION,TYPE OF POLICING,POLICING JURISDICTION,Year,Value
Criminal Code Offences,Columbia Shuswap,RCMP Provincial,Revelstoke Prov,2006,68.0
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Richmond Mun,2006,13290.0
Criminal Code Offences,Metro Vancouver,RCMP Provincial,Ridge Meadows Prov,2006,83.0
Criminal Code Offences,Capital,Independent Municipal,Saanich Mun,2006,6309.0
Criminal Code Offences,Central Kootenay,RCMP Provincial,Salmo Prov,2006,256.0
Criminal Code Offences,Columbia Shuswap,RCMP Municipal,Salmon Arm Mun,2006,1800.0
Criminal Code Offences,Columbia Shuswap,RCMP Provincial,Salmon Arm Prov,2006,597.0
Criminal Code Offences,Capital,RCMP Provincial,Saltspring Island Prov,2006,609.0
Criminal Code Offences,Strathcona,RCMP Provincial,Sayward Prov,2006,100.0
Criminal Code Offences,Sunshine Coast,RCMP Municipal,Sechelt Mun,2006,858.0
Criminal Code Offences,Cowichan Valley,RCMP Provincial,Shawnigan Lake Prov,2006,882.0
Criminal Code Offences,Columbia Shuswap,RCMP Provincial,Sicamous Prov,2006,533.0
Criminal Code Offences,Capital,RCMP Municipal,Sidney Mun,2006,701.0
Criminal Code Offences,Capital,RCMP Provincial,Sidney Prov,2006,298.0
Criminal Code Offences,Central Kootenay,RCMP Provincial,Slocan Lake Prov,2006,121.0
Criminal Code Offences,Bulkley Nechako,RCMP Municipal,Smithers Mun,2006,1317.0
Criminal Code Offences,Bulkley Nechako,RCMP Provincial,Smithers Prov,2006,454.0
Criminal Code Offences,Capital,RCMP Municipal,Sooke Mun,2006,1089.0
Criminal Code Offences,Capital,RCMP Provincial,Sooke Prov,2006,457.0
Criminal Code Offences,Okanagan Similkameen,RCMP Provincial,South Okanagan/Oliver,2006,1104.0
Criminal Code Offences,Okanagan Similkameen,RCMP Provincial,South Okanagan/Osoyoos,2006,891.0
Criminal Code Offences,North Okanagan,RCMP Municipal,Spallumcheen Mun,2006,NA
Criminal Code Offences,Squamish Lillooet,RCMP Municipal,Squamish Mun,2006,2840.0
Criminal Code Offences,Squamish Lillooet,RCMP Provincial,Squamish Prov,2006,217.0
Criminal Code Offences,Kitimat Stikine,RCMP Provincial,Stewart Prov,2006,57.0
Criminal Code Offences,Squamish Lillooet,First Nations Aboriginal Police Service,Stl'atl'imx FNAPS,2006,557.0
Criminal Code Offences,Okanagan Similkameen,RCMP Municipal,Summerland Mun,2006,720.0
Criminal Code Offences,Sunshine Coast,RCMP Provincial,Sunshine Coast Prov,2006,1343.0
Criminal Code Offences,Metro Vancouver,RCMP Municipal,Surrey Mun,2006,46708.0
Criminal Code Offences,Bulkley Nechako,RCMP Provincial,Takla Landing Prov,2006,106.0
Criminal Code Offences,Kitimat Stikine,RCMP Municipal,Terrace Mun,2006,2459.0
Criminal Code Offences,Kitimat Stikine,RCMP Provincial,Terrace Prov,2006,710.0
Criminal Code Offences,Powell River,RCMP Provincial,Texada Island Prov,2006,71.0
Criminal Code Offences,Thompson Nicola,RCMP Provincial,T'Kumlups Prov,2006,859.0
Criminal Code Offences,Alberni Clayoquot,RCMP Provincial,Tofino Prov,2006,682.0
Criminal Code Offences,Kootenay Boundary,RCMP Municipal,Trail Mun,2006,1101.0
Criminal Code Offences,Kootenay Boundary,RCMP Provincial,Trail and Greater District,2006,510.0
Criminal Code Offences,Fraser Fort George,RCMP Provincial,Tsay Keh Dene Prov,2006,258.0
Criminal Code Offences,Peace River,RCMP Provincial,Tumbler Ridge Prov,2006,506.0
Criminal Code Offences,Alberni Clayoquot,RCMP Provincial,Ucluelet Prov,2006,362.0
Criminal Code Offences,Metro Vancouver,RCMP Provincial,University Prov,2006,1339.0
Criminal Code Offences,Fraser Fort George,RCMP Provincial,Valemount Prov,2006,190.0
Criminal Code Offences,Metro Vancouver,Independent Municipal,Vancouver Mun,2006,64627.0
Criminal Code Offences,Bulkley Nechako,RCMP Provincial,Vanderhoof Prov,2006,948.0
Criminal Code Offences,North Okanagan,RCMP Municipal,Vernon Mun,2006,5486.0
Criminal Code Offences,North Okanagan,RCMP Provincial,Vernon Prov,2006,705.0
Criminal Code Offences,Capital,Independent Municipal,Victoria Mun,2006,16847.0
Criminal Code Offences,Capital,RCMP Municipal,View Royal Mun,2006,771.0
Criminal Code Offences,Cariboo,RCMP Provincial,Wells Prov,2006,37.0
Criminal Code Offences,Central Okanagan,RCMP Municipal,West Kelowna Mun,2006,NA
Criminal Code Offences,Capital,RCMP Provincial,West Shore Prov,2006,684.0
Criminal Code Offences,Metro Vancouver,Independent Municipal,West Vancouver Mun,2006,2654.0
Criminal Code Offences,Squamish Lillooet,RCMP Municipal,Whistler Mun,2006,2369.0
Criminal Code Offences,Squamish Lillooet,RCMP Provincial,Whistler Prov,2006,37.0
Criminal Code Offences,Metro Vancouver,RCMP Municipal,White Rock Mun,2006,1457.0
Criminal Code Offences,Cariboo,RCMP Municipal,Williams Lake Mun,2006,3176.0
Criminal Code Offences,Cariboo,RCMP Provincial,Williams Lake Prov,2006,629.0
Crime Rates,Fraser Valley,Independent Municipal,Abbotsford Mun,2006,97.71000000000001
Crime Rates,Fraser Valley,RCMP Provincial,Agassiz Prov,2006,137.6
Crime Rates,Mount Waddington,RCMP Provincial,Alert Bay Prov,2006,178.99
