Number of Other Criminal Code Offences,,,,,,,,,,,,
Mount Waddington,RCMP Provincial,Port McNeill Prov,200,123,120,85,56,59,67,49,45,65
Metro Vancouver,Independent Municipal,Port Moody Mun,218,169,176,177,205,169,131,128,130,141
Powell River,RCMP Municipal,Powell River Mun,318,205,252,210,170,212,260,211,221,225
Powell River,RCMP Provincial,Powell River Prov,135,70,97,95,45,73,65,54,31,43
Fraser Fort George,RCMP Municipal,Prince George Mun,"3,770","3,478","2,971","3,158","3,636","3,812","4,452","4,052","3,929","4,030"
Fraser Fort George,RCMP Provincial,Prince George Prov,116,96,75,76,125,106,120,124,90,107
North Coast Regional District (22),RCMP Municipal,Prince Rupert Mun,"1,078","1,316","1,168","1,039","1,113","1,763","1,738","1,358","1,026","1,021"
North Coast Regional District (22),RCMP Provincial,Prince Rupert Prov (15),109,120,89,58,74,111,121,78,76,88
Okanagan Similkameen,RCMP Provincial,Princeton Prov,85,101,101,102,102,96,68,52,99,82
Strathcona,RCMP Provincial,Quadra Island Prov,82,32,18,28,43,42,20,20,11,20
Nanaimo,RCMP Municipal,Qualicum Beach Mun,81,55,55,38,42,30,40,29,29,35
North Coast Regional District (22),RCMP Provincial,Queen Charlotte Prov,110,103,64,25,72,42,40,30,26,41
Cariboo,RCMP Municipal,Quesnel Mun,739,741,927,687,693,822,708,628,676,703
Cariboo,RCMP Provincial,Quesnel Prov,119,154,207,185,128,150,158,118,118,120
Columbia Shuswap,RCMP Municipal,Revelstoke Mun,172,184,152,123,95,146,216,131,119,165
Columbia Shuswap,RCMP Provincial,Revelstoke Prov,7,21,18,4,7,10,12,6,9,11
Metro Vancouver,RCMP Municipal,Richmond Mun,"1,991","1,818","1,867","2,068","2,212","2,237","2,158","2,025","2,345","2,479"
Metro Vancouver,RCMP Provincial,"Ridge Meadows Prov (11,13)",17,10,118,240,211,262,199,311,12,13
Capital,Independent Municipal,Saanich Mun,382,321,388,580,644,512,417,324,320,309
Central Kootenay,RCMP Provincial,Salmo Prov (5),68,63,66,65,44,65,61,88,56,69
Columbia Shuswap,RCMP Municipal,Salmon Arm Mun,212,258,333,378,423,329,338,330,207,195
Columbia Shuswap,RCMP Provincial,Salmon Arm Prov,58,56,82,86,95,70,45,52,46,62
Capital,RCMP Provincial,Saltspring Island Prov,101,138,218,200,164,130,71,108,94,121
Strathcona,RCMP Provincial,Sayward Prov,20,44,11,12,4,9,9,4,7,17
Sunshine Coast,RCMP Municipal,Sechelt Mun,209,209,190,184,173,161,219,166,151,214
Cowichan Valley,RCMP Provincial,Shawnigan Lake Prov,104,86,77,100,78,130,165,156,133,164
Columbia Shuswap,RCMP Provincial,Sicamous Prov,98,93,50,47,66,49,53,37,28,36
Capital,RCMP Municipal,Sidney Mun,112,89,127,147,141,124,146,144,118,127
Capital,RCMP Provincial,Sidney Prov,98,48,107,135,130,112,99,98,126,123
Central Kootenay,RCMP Provincial,Slocan Lake Prov (5),32,14,7,21,48,36,28,28,33,28
Bulkley Nechako,RCMP Municipal,Smithers Mun,409,478,380,358,295,241,243,329,331,270
Bulkley Nechako,RCMP Provincial,Smithers Prov,146,137,122,120,81,75,85,76,56,70
Capital,RCMP Municipal,Sooke Mun,211,221,202,181,106,117,69,75,85,122
Capital,RCMP Provincial,Sooke Prov,74,39,32,47,36,24,15,15,25,32
Okanagan Similkameen,RCMP Provincial,South Okanagan/Oliver (16),235,211,208,169,94,113,150,123,134,98
Okanagan Similkameen,RCMP Provincial,South Okanagan/Osoyoos (16),130,170,196,189,131,142,152,107,122,105
North Okanagan,RCMP Municipal,Spallumcheen Mun (3),-,-,-,-,-,-,24,25,14,17
Squamish Lillooet,RCMP Municipal,Squamish Mun (1),759,683,549,412,392,477,431,400,410,445
Squamish Lillooet,RCMP Provincial,Squamish Prov,30,23,23,21,20,29,29,25,39,37
Kitimat Stikine,RCMP Provincial,Stewart Prov,7,13,8,7,4,12,21,21,10,16
Squamish Lillooet,First Nations Aboriginal Police Service,Stl'atl'imx FNAPS (17),171,229,227,225,183,116,108,131,101,107
Okanagan Similkameen,RCMP Municipal,Summerland Mun,134,148,89,107,103,83,70,63,24,71
Sunshine Coast,RCMP Provincial,Sunshine Coast Prov (18),288,353,297,336,411,358,308,211,154,177
Metro Vancouver,RCMP Municipal,Surrey Mun (19),"6,715","7,473","8,192","8,741","8,511","8,239","7,846","7,663","8,947","10,607"
Bulkley Nechako,RCMP Provincial,Takla Landing Prov,42,52,30,68,66,63,47,42,30,44
Kitimat Stikine,RCMP Municipal,Terrace Mun,732,756,"1,097","1,178",985,939,"1,003",822,963,"1,415"
Kitimat Stikine,RCMP Provincial,Terrace Prov,139,130,137,171,157,146,201,161,159,187
Powell River,RCMP Provincial,Texada Island Prov,17,9,7,2,7,8,12,7,3,6
Thompson Nicola,RCMP Provincial,T'Kumlups Prov,143,190,136,113,95,89,92,97,89,79
Alberni Clayoquot,RCMP Provincial,Tofino Prov,242,354,342,188,212,197,208,208,145,178
Kootenay Boundary,RCMP Municipal,Trail Mun,289,242,243,247,232,273,271,244,240,144
Kootenay Boundary,RCMP Provincial,"Trail and Greater District (5,20)",95,126,159,149,115,120,152,122,84,76
Fraser Fort George,RCMP Provincial,Tsay Keh Dene Prov,84,101,118,97,91,95,140,79,85,79
Peace River,RCMP Provincial,Tumbler Ridge Prov,165,162,93,96,91,68,40,36,30,38
Alberni Clayoquot,RCMP Provincial,Ucluelet Prov,116,152,119,91,104,62,49,55,31,26
Metro Vancouver,RCMP Provincial,University Prov,195,167,76,163,217,218,153,159,160,218
Fraser Fort George,RCMP Provincial,Valemount Prov,46,37,48,42,48,48,55,23,38,19
Metro Vancouver,Independent Municipal,Vancouver Mun (1),"6,900","6,472","6,154","5,882","6,232","7,437","7,128","7,548","4,204","4,108"
Bulkley Nechako,RCMP Provincial,Vanderhoof Prov,325,382,270,386,298,350,626,609,559,509
North Okanagan,RCMP Municipal,Vernon Mun,620,596,801,878,844,785,946,"1,021","1,050","1,016"
North Okanagan,RCMP Provincial,Vernon Prov,35,43,58,61,62,56,61,60,59,45
Capital,Independent Municipal,Victoria Mun (21),"2,343","2,531","2,058","1,953","2,772","2,105","1,417","1,586","1,721","2,106"
Capital,RCMP Municipal,View Royal Mun,118,80,65,105,57,67,67,70,75,71
Cariboo,RCMP Provincial,Wells Prov,9,1,8,8,4,6,6,11,9,14
Central Okanagan,RCMP Municipal,West Kelowna Mun (9),-,-,-,294,221,223,232,191,165,224
Capital,RCMP Provincial,West Shore Prov,72,42,54,58,38,66,53,40,37,49
Metro Vancouver,Independent Municipal,West Vancouver Mun (1),272,250,304,210,211,216,234,215,197,240
Squamish Lillooet,RCMP Municipal,Whistler Mun,445,590,500,381,427,388,471,363,383,390
Squamish Lillooet,RCMP Provincial,Whistler Prov,3,1,7,4,0,3,3,3,0,3
Metro Vancouver,RCMP Municipal,White Rock Mun,333,294,189,234,280,237,229,167,231,267
Cariboo,RCMP Municipal,Williams Lake Mun,765,839,"1,064",998,"1,219",908,"1,226","1,563","1,420","1,423"
Cariboo,RCMP Provincial,Williams Lake Prov,84,125,134,130,126,130,158,162,163,138
,,BRITISH COLUMBIA (23),"84,857","81,797","78,969","79,701","79,841","79,518","77,498","73,873","72,186","77,201"
,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,
"Other crimes include Criminal Code offences not classified as either violent or property crimes, e.g. prostitution, gaming and betting, offensive weapons, offences related to currency, offences against the administration of justice, offences against public order, etc.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: ,,,,,,,,,,,,
"Statistics Canada. Table 252-0081 - Incident-based crime statistics, by detailed violations and police services, British Columbia, annual (number unless otherwise noted)",,,,,,,,,,,,
"(accessed: August 4, 2016)",,,,,,,,,,,,
