Number of Theft of Motor Vehicle Offences,,,,,,,,,,,,
Kootenay Boundary,RCMP Municipal,Trail Mun,17,21,31,16,8,10,3,15,9,9
Kootenay Boundary,RCMP Provincial,"Trail and Greater District (5,20)",24,14,24,24,12,8,8,7,6,25
Fraser Fort George,RCMP Provincial,Tsay Keh Dene Prov,4,4,1,11,4,4,2,2,0,0
Peace River,RCMP Provincial,Tumbler Ridge Prov,18,16,17,13,12,17,4,4,4,5
Alberni Clayoquot,RCMP Provincial,Ucluelet Prov,13,10,13,8,4,11,5,2,1,7
Metro Vancouver,RCMP Provincial,University Prov,34,32,12,27,15,10,20,6,7,16
Fraser Fort George,RCMP Provincial,Valemount Prov,9,7,14,6,4,3,4,18,9,1
Metro Vancouver,Independent Municipal,Vancouver Mun (1),"3,697","3,321","2,433","1,857","1,472","1,118","1,188","1,071","1,329","1,407"
Bulkley Nechako,RCMP Provincial,Vanderhoof Prov,44,45,44,29,29,18,19,25,16,23
North Okanagan,RCMP Municipal,Vernon Mun,345,315,432,383,235,199,139,159,226,177
North Okanagan,RCMP Provincial,Vernon Prov,49,40,57,44,45,34,37,19,21,28
Capital,Independent Municipal,Victoria Mun (21),647,564,416,405,280,143,205,129,207,174
Capital,RCMP Municipal,View Royal Mun,40,31,26,30,32,18,9,18,11,14
Cariboo,RCMP Provincial,Wells Prov,1,0,2,1,1,2,0,0,1,0
Central Okanagan,RCMP Municipal,West Kelowna Mun (9),-,-,-,138,87,76,92,81,83,99
Capital,RCMP Provincial,West Shore Prov,29,17,28,22,16,15,10,3,2,19
Metro Vancouver,Independent Municipal,West Vancouver Mun (1),77,89,54,53,48,24,27,26,22,31
Squamish Lillooet,RCMP Municipal,Whistler Mun,66,54,59,49,34,21,22,17,6,11
Squamish Lillooet,RCMP Provincial,Whistler Prov,1,9,3,13,1,2,0,5,1,2
Metro Vancouver,RCMP Municipal,White Rock Mun,102,77,64,106,45,34,53,38,62,64
Cariboo,RCMP Municipal,Williams Lake Mun,144,278,302,125,84,36,106,129,101,87
Cariboo,RCMP Provincial,Williams Lake Prov,64,61,69,29,30,26,36,40,32,27
,,BRITISH COLUMBIA (23),"29,388","26,981","22,738","19,551","15,966","13,171","12,565","11,544","15,009","14,697"
,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,
"Motor vehicle theft includes motor vehicle theft automobile, motor vehicle theft truck, motor vehicle theft motorcycle, motor vehicle theft other (e.g. snowmobiles, all terrain vehicles, motorized farming and industrial vehicles). In 2011, a new UCR violation code for motor vehicle theft was created, replacing the current UCR violations of motor vehicle theft over $5000 and motor vehicle theft $5000 and under.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: ,,,,,,,,,,,,
"Statistics Canada. Table 252-0081 - Incident-based crime statistics, by detailed violations and police services, British Columbia, annual (number unless otherwise noted)",,,,,,,,,,,,
"(accessed: August 4, 2016)",,,,,,,,,,,,
