Number of Property Offences,,,,,,,,,,,,
Cariboo,RCMP Municipal,Quesnel Mun,"1,234","1,229","1,295","1,195",880,846,947,777,810,768
Cariboo,RCMP Provincial,Quesnel Prov,368,464,480,388,303,285,329,313,319,296
Columbia Shuswap,RCMP Municipal,Revelstoke Mun,414,442,577,450,387,368,296,268,245,302
Columbia Shuswap,RCMP Provincial,Revelstoke Prov,51,46,37,50,41,47,33,30,19,45
Metro Vancouver,RCMP Municipal,Richmond Mun,"9,579","9,157","9,056","8,149","8,179","7,402","7,913","7,151","8,644","8,260"
Metro Vancouver,RCMP Provincial,"Ridge Meadows Prov (11,13)",45,16,349,783,898,793,773,914,12,35
Capital,Independent Municipal,Saanich Mun,"5,035","4,748","4,592","4,313","4,200","3,513","3,611","3,142","2,891","3,175"
Central Kootenay,RCMP Provincial,Salmo Prov (5),138,181,165,129,92,156,129,120,101,103
Columbia Shuswap,RCMP Municipal,Salmon Arm Mun,"1,264","1,414","1,027","1,114","1,235",759,734,632,492,468
Columbia Shuswap,RCMP Provincial,Salmon Arm Prov,413,450,262,254,363,244,152,190,147,190
Capital,RCMP Provincial,Saltspring Island Prov,359,312,348,260,309,242,252,224,168,142
Strathcona,RCMP Provincial,Sayward Prov,54,72,68,54,41,36,32,29,37,34
Sunshine Coast,RCMP Municipal,Sechelt Mun,523,551,511,419,429,381,335,326,287,343
Cowichan Valley,RCMP Provincial,Shawnigan Lake Prov,615,788,743,627,364,434,351,343,360,383
Columbia Shuswap,RCMP Provincial,Sicamous Prov,339,297,264,294,298,202,216,153,175,257
Capital,RCMP Municipal,Sidney Mun,491,451,546,487,437,414,371,340,277,257
Capital,RCMP Provincial,Sidney Prov,118,124,129,102,96,135,96,68,99,106
Central Kootenay,RCMP Provincial,Slocan Lake Prov (5),72,47,45,57,87,105,117,69,55,46
Bulkley Nechako,RCMP Municipal,Smithers Mun,657,606,560,476,330,480,371,450,522,469
Bulkley Nechako,RCMP Provincial,Smithers Prov,174,155,148,188,142,189,175,180,215,168
Capital,RCMP Municipal,Sooke Mun,711,641,747,618,451,462,375,453,521,466
Capital,RCMP Provincial,Sooke Prov,307,234,264,292,198,135,120,90,110,178
Okanagan Similkameen,RCMP Provincial,South Okanagan/Oliver (16),741,589,502,503,353,377,384,335,457,562
Okanagan Similkameen,RCMP Provincial,South Okanagan/Osoyoos (16),667,554,471,401,441,282,351,348,539,402
North Okanagan,RCMP Municipal,Spallumcheen Mun (3),-,-,-,-,-,-,75,96,88,78
