Number of Homicide Offences,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Okanagan Similkameen,RCMP Provincial,South Okanagan/Osoyoos (16),0,1,0,0,0,0,0,0,0,0
North Okanagan,RCMP Municipal,Spallumcheen Mun (3),-,-,-,-,-,-,0,0,0,0
Squamish Lillooet,RCMP Municipal,Squamish Mun (1),0,1,0,0,0,0,0,0,0,0
Squamish Lillooet,RCMP Provincial,Squamish Prov,0,0,0,0,0,1,0,0,0,0
Kitimat Stikine,RCMP Provincial,Stewart Prov,0,0,0,0,0,0,0,0,0,0
Squamish Lillooet,First Nations Aboriginal Police Service,Stl'atl'imx FNAPS (17),0,0,0,0,0,0,0,0,0,0
Okanagan Similkameen,RCMP Municipal,Summerland Mun,0,0,1,0,0,0,0,0,0,0
Sunshine Coast,RCMP Provincial,Sunshine Coast Prov (18),0,0,0,1,0,0,0,0,0,0
Metro Vancouver,RCMP Municipal,Surrey Mun (19),11,14,16,20,14,16,9,25,17,8
Bulkley Nechako,RCMP Provincial,Takla Landing Prov,0,0,0,0,0,0,0,1,0,0
Kitimat Stikine,RCMP Municipal,Terrace Mun,0,0,1,0,0,1,0,1,1,2
Kitimat Stikine,RCMP Provincial,Terrace Prov,0,0,0,1,0,0,1,1,0,0
Powell River,RCMP Provincial,Texada Island Prov,0,0,0,0,0,0,0,0,0,0
Thompson Nicola,RCMP Provincial,T'Kumlups Prov,0,2,0,1,0,0,1,0,0,0
Alberni Clayoquot,RCMP Provincial,Tofino Prov,0,0,0,0,0,1,0,0,0,0
Kootenay Boundary,RCMP Municipal,Trail Mun,1,0,1,0,0,1,0,0,0,0
Kootenay Boundary,RCMP Provincial,"Trail and Greater District (5,20)",0,0,0,0,0,0,0,0,2,0
Fraser Fort George,RCMP Provincial,Tsay Keh Dene Prov,0,0,0,0,0,0,0,0,0,0
Peace River,RCMP Provincial,Tumbler Ridge Prov,0,0,0,0,0,0,0,0,0,0
Alberni Clayoquot,RCMP Provincial,Ucluelet Prov,0,0,0,0,0,0,0,0,0,0
Metro Vancouver,RCMP Provincial,University Prov,1,0,0,1,0,0,0,0,0,0
Fraser Fort George,RCMP Provincial,Valemount Prov,0,0,0,0,0,0,0,0,0,0
Metro Vancouver,Independent Municipal,Vancouver Mun (1),19,22,19,18,12,15,8,6,10,16
Bulkley Nechako,RCMP Provincial,Vanderhoof Prov,0,0,1,0,1,0,1,2,0,0
North Okanagan,RCMP Municipal,Vernon Mun,0,1,1,0,1,0,0,2,0,1
North Okanagan,RCMP Provincial,Vernon Prov,0,0,0,1,0,0,0,1,0,0
Capital,Independent Municipal,Victoria Mun (21),3,0,3,3,3,3,2,1,1,5
Capital,RCMP Municipal,View Royal Mun,0,0,0,0,0,0,0,0,0,0
Cariboo,RCMP Provincial,Wells Prov,0,0,0,0,0,0,0,0,0,0
