Number of Drug Offences (CDSA),,,,,,,,,,,,
Cariboo,RCMP Provincial,Williams Lake Prov,35,82,83,124,133,94,118,120,112,85
,,BRITISH COLUMBIA (23),"25,630","28,472","27,032","23,948","26,928","27,178","25,455","26,354","24,321","22,156"
,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,
"Drug offences are crimes prohibited under the Controlled Drugs and Substances Act (CDSA). Drug offences include possession, trafficking, production, and distribution of cannabis, cocaine, heroin and other drug offences. These are not included in the Total Criminal Code offences.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: ,,,,,,,,,,,,
"Statistics Canada. Table 252-0081 - Incident-based crime statistics, by detailed violations and police services, British Columbia, annual (number unless otherwise noted)",,,,,,,,,,,,
"(accessed: August 4, 2016)",,,,,,,,,,,,
