Number of Criminal Code Offences,,,,,,,,,,,,
Capital,Independent Municipal,Saanich Mun,"6,309","5,922","5,810","5,826","5,816","4,888","4,921","4,188","3,894","4,342"
Central Kootenay,RCMP Provincial,Salmo Prov (5),256,304,297,254,190,315,255,265,196,208
Columbia Shuswap,RCMP Municipal,Salmon Arm Mun,"1,800","2,031","1,687","1,816","1,909","1,424","1,320","1,203",852,851
Columbia Shuswap,RCMP Provincial,Salmon Arm Prov,597,637,458,458,534,393,274,291,258,328
Capital,RCMP Provincial,Saltspring Island Prov,609,591,692,599,618,477,394,419,326,324
Strathcona,RCMP Provincial,Sayward Prov,100,143,111,79,53,51,49,42,51,56
Sunshine Coast,RCMP Municipal,Sechelt Mun,858,869,889,776,734,650,681,588,529,661
Cowichan Valley,RCMP Provincial,Shawnigan Lake Prov,882,"1,031",976,888,580,689,672,652,619,718
Columbia Shuswap,RCMP Provincial,Sicamous Prov,533,454,360,394,411,302,329,243,241,349
Capital,RCMP Municipal,Sidney Mun,701,653,793,775,703,661,625,583,465,444
Capital,RCMP Provincial,Sidney Prov,298,271,336,356,333,356,254,233,287,317
Central Kootenay,RCMP Provincial,Slocan Lake Prov (5),121,84,57,107,185,194,188,141,128,108
Bulkley Nechako,RCMP Municipal,Smithers Mun,"1,317","1,320","1,177","1,086",848,905,806,979,"1,015",885
Bulkley Nechako,RCMP Provincial,Smithers Prov,454,442,390,458,349,423,399,352,381,346
Capital,RCMP Municipal,Sooke Mun,"1,089","1,058","1,134",978,739,737,534,622,711,699
Capital,RCMP Provincial,Sooke Prov,457,340,347,400,315,210,162,128,167,265
Okanagan Similkameen,RCMP Provincial,South Okanagan/Oliver (16),"1,104",934,851,882,607,629,700,547,707,763
Okanagan Similkameen,RCMP Provincial,South Okanagan/Osoyoos (16),891,831,811,725,689,517,564,544,749,580
North Okanagan,RCMP Municipal,Spallumcheen Mun (3),-,-,-,-,-,-,124,164,123,123
Squamish Lillooet,RCMP Municipal,Squamish Mun (1),"2,840","2,438","2,408","1,727","1,784","1,817","1,831","1,742","1,560","1,446"
Squamish Lillooet,RCMP Provincial,Squamish Prov,217,174,161,101,87,108,129,142,168,166
Kitimat Stikine,RCMP Provincial,Stewart Prov,57,55,50,31,40,54,65,71,49,40
Squamish Lillooet,First Nations Aboriginal Police Service,Stl'atl'imx FNAPS (17),557,574,549,530,545,346,387,401,332,358
Okanagan Similkameen,RCMP Municipal,Summerland Mun,720,754,600,546,497,488,487,356,374,570
Sunshine Coast,RCMP Provincial,Sunshine Coast Prov (18),"1,343","1,477","1,551","1,457","1,517","1,417","1,044",842,789,874
Metro Vancouver,RCMP Municipal,Surrey Mun (19),"46,708","46,397","45,596","44,330","42,735","42,913","43,105","42,243","49,453","49,228"
Bulkley Nechako,RCMP Provincial,Takla Landing Prov,106,96,61,124,131,126,124,117,104,87
Kitimat Stikine,RCMP Municipal,Terrace Mun,"2,459","2,462","2,537","2,621","2,150","2,151","2,331","2,122","2,131","2,636"
Kitimat Stikine,RCMP Provincial,Terrace Prov,710,608,583,687,530,539,657,538,539,605
Powell River,RCMP Provincial,Texada Island Prov,71,48,64,52,63,55,66,41,29,51
Thompson Nicola,RCMP Provincial,T'Kumlups Prov,859,970,754,682,712,697,604,563,619,626
Alberni Clayoquot,RCMP Provincial,Tofino Prov,682,837,843,706,540,567,545,559,392,553
Kootenay Boundary,RCMP Municipal,Trail Mun,"1,101",926,951,887,929,878,904,736,691,557
Kootenay Boundary,RCMP Provincial,"Trail and Greater District (5,20)",510,586,539,502,415,434,485,405,377,363
Fraser Fort George,RCMP Provincial,Tsay Keh Dene Prov,258,243,275,292,243,225,313,190,182,188
Peace River,RCMP Provincial,Tumbler Ridge Prov,506,461,430,363,305,259,201,153,139,147
Alberni Clayoquot,RCMP Provincial,Ucluelet Prov,362,422,375,320,294,238,198,175,133,176
Metro Vancouver,RCMP Provincial,University Prov,"1,339","1,245",969,"1,172","1,324","1,169","1,231","1,302","1,250","1,464"
Fraser Fort George,RCMP Provincial,Valemount Prov,190,171,203,207,147,159,177,148,137,158
Metro Vancouver,Independent Municipal,Vancouver Mun (1),"64,627","58,428","55,508","51,779","49,707","48,802","48,796","49,402","49,204","49,803"
Bulkley Nechako,RCMP Provincial,Vanderhoof Prov,948,"1,110","1,106","1,300","1,092","1,059","1,264","1,158","1,093","1,095"
