Number of Administration of Justice Offences,,,,,,,,,,,,
Columbia Shuswap,RCMP Provincial,Revelstoke Prov,2,4,5,0,1,2,2,0,5,2
Metro Vancouver,RCMP Municipal,Richmond Mun,74,100,132,184,221,184,189,166,209,212
Metro Vancouver,RCMP Provincial,"Ridge Meadows Prov (11,13)",3,6,13,22,20,23,29,19,3,0
Capital,Independent Municipal,Saanich Mun,217,198,229,292,310,191,175,166,176,164
Central Kootenay,RCMP Provincial,Salmo Prov (5),18,2,7,21,12,34,20,24,31,31
Columbia Shuswap,RCMP Municipal,Salmon Arm Mun,57,61,133,109,130,60,91,83,44,39
Columbia Shuswap,RCMP Provincial,Salmon Arm Prov,17,17,17,19,18,8,16,9,15,18
Capital,RCMP Provincial,Saltspring Island Prov,26,28,20,19,22,14,15,12,16,21
Strathcona,RCMP Provincial,Sayward Prov,4,8,3,2,0,6,5,2,2,3
Sunshine Coast,RCMP Municipal,Sechelt Mun,44,41,48,46,36,31,44,47,47,59
Cowichan Valley,RCMP Provincial,Shawnigan Lake Prov,26,16,22,21,16,24,29,44,29,22
Columbia Shuswap,RCMP Provincial,Sicamous Prov,14,12,4,4,12,8,10,7,7,5
Capital,RCMP Municipal,Sidney Mun,26,20,22,32,37,30,25,26,17,12
Capital,RCMP Provincial,Sidney Prov,11,15,26,25,33,32,25,23,33,47
Central Kootenay,RCMP Provincial,Slocan Lake Prov (5),7,0,1,6,8,18,13,9,11,8
Bulkley Nechako,RCMP Municipal,Smithers Mun,88,118,81,67,66,51,54,58,66,55
Bulkley Nechako,RCMP Provincial,Smithers Prov,33,35,28,27,21,19,27,21,18,16
Capital,RCMP Municipal,Sooke Mun,28,22,39,41,51,39,33,34,34,46
Capital,RCMP Provincial,Sooke Prov,11,2,6,11,24,13,12,7,13,18
Okanagan Similkameen,RCMP Provincial,South Okanagan/Oliver (16),32,38,21,31,22,27,40,32,34,26
Okanagan Similkameen,RCMP Provincial,South Okanagan/Osoyoos (16),31,24,18,19,32,24,33,20,23,22
North Okanagan,RCMP Municipal,Spallumcheen Mun (3),-,-,-,-,-,-,5,7,3,13
Squamish Lillooet,RCMP Municipal,Squamish Mun (1),102,61,122,66,62,55,72,86,65,50
Squamish Lillooet,RCMP Provincial,Squamish Prov,5,1,3,2,3,2,4,0,4,4
Kitimat Stikine,RCMP Provincial,Stewart Prov,2,2,0,1,2,3,3,2,2,10
Squamish Lillooet,First Nations Aboriginal Police Service,Stl'atl'imx FNAPS (17),21,26,21,44,54,24,13,15,22,35
Okanagan Similkameen,RCMP Municipal,Summerland Mun,21,21,17,17,10,13,6,10,4,13
Sunshine Coast,RCMP Provincial,Sunshine Coast Prov (18),58,39,59,57,54,63,60,61,52,47
Metro Vancouver,RCMP Municipal,Surrey Mun (19),"1,601","1,199","1,022","1,143","1,200","1,251","1,167","1,095","1,246","1,640"
Bulkley Nechako,RCMP Provincial,Takla Landing Prov,8,5,3,3,20,10,7,9,13,21
Kitimat Stikine,RCMP Municipal,Terrace Mun,187,207,362,462,432,414,293,257,384,305
Kitimat Stikine,RCMP Provincial,Terrace Prov,38,35,35,37,23,26,33,29,31,43
Powell River,RCMP Provincial,Texada Island Prov,3,1,2,0,2,1,0,3,0,2
Thompson Nicola,RCMP Provincial,T'Kumlups Prov,35,30,20,16,30,24,22,25,22,24
