Populations,,,,,,,,,,,,
REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fraser Fort George,RCMP Provincial,McBride Prov,"1,773","1,747","1,747","1,713","1,681","1,678","1,670","1,662","1,673","1,665"
Thompson Nicola,RCMP Municipal,Merritt Mun,"7,326","7,380","7,431","7,428","7,244","7,195","7,236","7,327","7,469","7,610"
Thompson Nicola,RCMP Provincial,Merritt Prov,"3,814","3,820","3,900","3,965","3,846","3,843","3,875","3,888","3,960","3,842"
Fraser Valley,RCMP Municipal,Mission Mun,"35,731","36,252","36,711","37,160","37,506","37,101","37,590","37,587","37,854","38,711"
Fraser Valley,RCMP Provincial,Mission Prov,"4,357","4,329","4,374","4,284","4,230","4,246","4,195","4,229","4,218","4,075"
Central Kootenay,RCMP Provincial,Nakusp Prov (5),"3,333","3,331","3,360","3,369","3,392","3,412","3,390","3,389","3,410","3,420"
Nanaimo,RCMP Municipal,Nanaimo Mun (1),"81,152","81,419","82,348","83,560","84,366","86,164","86,132","87,308","88,790","90,907"
Nanaimo,RCMP Provincial,Nanaimo Prov,"13,608","13,755","14,004","14,001","14,053","13,955","14,060","13,915","14,018","13,852"
Central Kootenay,Independent Municipal,Nelson Mun,"9,301","9,565","9,987","10,233","10,171","10,371","10,261","10,301","10,469","10,802"
Central Kootenay,RCMP Provincial,Nelson Prov (5),"11,709","11,746","11,814","11,769","11,864","11,931","11,899","11,998","12,221","12,327"
Kitimat Stikine,RCMP Provincial,New Hazelton Prov,"5,528","5,437","5,536","5,543","5,493","5,512","5,718","5,764","5,945","5,898"
Metro Vancouver,Independent Municipal,New Westminster Mun,"60,496","61,642","63,603","64,930","66,722","67,545","68,595","69,178","70,192","71,665"
Strathcona,RCMP Provincial,Nootka Sound Prov,"2,091","2,072","2,079","2,046","1,990","1,931","1,901","1,895","1,904","1,884"
Cowichan Valley,RCMP Municipal,North Cowichan Mun,"28,384","28,615","28,888","29,003","29,137","29,401","29,232","29,291","29,704","29,999"
Capital,RCMP Municipal,North Saanich Mun,"10,920","10,863","11,027","11,013","11,084","11,109","11,077","11,117","11,102","10,994"
Metro Vancouver,RCMP Municipal,"North Vancouver City Mun (12,13)","46,855","46,942","47,124","47,977","49,443","49,396","50,325","51,017","52,600","54,258"
Metro Vancouver,RCMP Municipal,North Vancouver District Mun (12),"85,427","85,416","85,034","85,253","86,270","86,063","86,779","86,731","86,902","85,974"
Metro Vancouver,RCMP Provincial,"North Vancouver Prov (1,12,13)","2,088","2,095","2,066","2,055","2,237","2,335","2,485","2,604","2,839","2,886"
Northern Rockies,RCMP Municipal,Northern Rockies Mun (14),-,-,-,-,-,-,-,"5,359","5,348","5,366"
Northern Rockies,RCMP Provincial,Northern Rockies Prov (14),"6,289","6,053","5,915","5,789","5,913","6,059","6,005",602,602,596
Capital,Independent Municipal,Oak Bay Mun,"17,996","17,966","18,068","18,039","18,019","18,037","17,824","17,647","17,504","17,474"
Nanaimo,RCMP Provincial,Oceanside Prov ,"23,428","23,698","24,239","24,355","24,515","24,377","24,563","24,585","24,833","24,667"
Cariboo,RCMP Provincial,One Hundred Mile House Prov,"13,088","12,957","13,053","13,013","12,950","12,902","12,849","12,893","12,960","12,904"
Capital,RCMP Provincial,Outer Gulf  Islands Prov,"4,636","4,613","4,698","4,723","4,736","4,771","4,781","4,782","4,834","4,832"
Nanaimo,RCMP Municipal,Parksville Mun,"11,064","11,386","11,765","12,026","12,136","12,002","12,019","12,138","12,230","12,598"
Central Okanagan,RCMP Municipal,Peachland Mun (10),-,-,-,-,-,-,"5,107","5,089","5,088","5,013"
Squamish Lillooet,RCMP Provincial,Pemberton Prov,"4,161","4,161","4,155","4,255","4,273","4,294","4,435","4,495","4,481","4,271"
Okanagan Similkameen,RCMP Municipal,Penticton Mun,"32,487","32,860","33,001","33,339","33,145","33,553","33,174","33,231","34,050","33,964"
Okanagan Similkameen,RCMP Provincial,Penticton Prov,"11,772","11,778","11,821","11,790","11,517","11,376","11,267","11,241","11,391","11,452"
Metro Vancouver,RCMP Municipal,Pitt Meadows Mun (11),"16,302","16,557","17,387","17,875","18,054","18,224","18,526","18,701","18,763","19,652"
Alberni Clayoquot,RCMP Municipal,Port Alberni Mun,"17,600","17,610","17,655","17,722","17,693","17,934","17,284","16,744","16,554","16,149"
Alberni Clayoquot,RCMP Provincial,Port Alberni Prov,"8,261","8,165","8,241","8,224","8,173","8,080","8,183","8,264","8,456","8,436"
Mount Waddington,RCMP Provincial,Port Alice Prov,860,868,863,859,852,851,836,833,823,814
Metro Vancouver,RCMP Municipal,Port Coquitlam Mun (1),"54,586","54,901","55,441","56,339","57,199","57,267","58,685","59,108","60,103","60,270"
Mount Waddington,RCMP Provincial,Port Hardy Prov,"5,330","5,303","5,349","5,433","5,408","5,396","5,368","5,328","5,291","5,219"
Mount Waddington,RCMP Provincial,Port McNeill Prov,"4,774","4,686","4,595","4,553","4,521","4,493","4,412","4,435","4,427","4,377"
Metro Vancouver,Independent Municipal,Port Moody Mun,"28,743","29,856","31,340","32,797","33,611","34,027","34,034","34,479","34,884","34,554"
Powell River,RCMP Municipal,Powell River Mun,"13,024","13,057","13,113","13,105","13,240","13,303","13,015","12,992","13,026","12,893"
Powell River,RCMP Provincial,Powell River Prov,"5,483","5,422","5,468","5,544","5,513","5,574","5,530","5,525","5,535","5,377"
Fraser Fort George,RCMP Municipal,Prince George Mun,"72,915","72,813","72,864","73,119","73,548","73,803","73,509","73,850","73,321","71,363"
Fraser Fort George,RCMP Provincial,Prince George Prov,"13,396","13,396","13,430","13,327","13,186","13,142","13,074","13,050","13,134","13,121"
North Coast Regional District (22),RCMP Municipal,Prince Rupert Mun,"13,078","12,849","12,723","12,704","12,786","12,802","12,509","12,169","11,829","11,386"
North Coast Regional District (22),RCMP Provincial,Prince Rupert Prov (15),"2,168","2,128","2,105","2,000","1,953","1,967","1,956","1,959","1,937","1,889"
Okanagan Similkameen,RCMP Provincial,Princeton Prov,"4,952","4,894","4,859","4,825","4,937","4,938","4,925","4,910","4,955","4,934"
Strathcona,RCMP Provincial,Quadra Island Prov,"3,596","3,558","3,576","3,583","3,536","3,517","3,489","3,466","3,510","3,504"
Nanaimo,RCMP Municipal,Qualicum Beach Mun,"8,501","8,613","8,747","8,771","8,723","8,663","8,584","8,531","8,503","8,940"
North Coast Regional District (22),RCMP Provincial,Queen Charlotte Prov,"2,507","2,473","2,444","2,368","2,324","2,340","2,324","2,307","2,304","2,295"
Cariboo,RCMP Municipal,Quesnel Mun,"9,466","9,532","9,688","9,818","9,875","10,185","10,042","9,741","9,761","9,160"
Cariboo,RCMP Provincial,Quesnel Prov,"13,547","13,393","13,509","13,467","13,394","13,316","13,286","13,349","13,422","13,317"
Columbia Shuswap,RCMP Municipal,Revelstoke Mun,"7,293","7,242","7,209","7,190","7,157","7,287","7,077","7,142","7,202","7,192"
Columbia Shuswap,RCMP Provincial,Revelstoke Prov,579,578,591,586,573,562,564,566,576,588
Metro Vancouver,RCMP Municipal,Richmond Mun,"182,638","185,818","188,224","192,535","195,729","196,001","198,550","201,259","206,080","207,773"
Metro Vancouver,RCMP Provincial,"Ridge Meadows Prov (11,13)",97,96,97,95,94,94,93,94,94,90
Capital,Independent Municipal,Saanich Mun,"111,434","111,603","112,311","112,371","112,435","111,981","111,774","111,317","111,022","110,803"
Central Kootenay,RCMP Provincial,Salmo Prov (5),"2,469","2,502","2,545","2,565","2,600","2,631","2,640","2,627","2,706","2,717"
Columbia Shuswap,RCMP Municipal,Salmon Arm Mun,"16,306","16,708","17,165","17,428","17,378","17,772","17,416","17,253","17,590","17,183"
Columbia Shuswap,RCMP Provincial,Salmon Arm Prov,"9,387","9,378","9,583","9,505","9,291","9,112","9,154","9,175","9,346","9,541"
Capital,RCMP Provincial,Saltspring Island Prov,"10,054","10,004","10,189","10,243","10,271","10,347","10,369","10,370","10,484","10,479"
Strathcona,RCMP Provincial,Sayward Prov,819,795,797,797,788,787,777,770,775,773
Sunshine Coast,RCMP Municipal,Sechelt Mun,"8,491","8,676","8,837","8,906","9,134","9,393","9,483","9,461","9,890","9,773"
Cowichan Valley,RCMP Provincial,Shawnigan Lake Prov,"16,797","16,970","17,231","17,293","17,544","17,651","17,568","17,653","17,814","18,027"
Columbia Shuswap,RCMP Provincial,Sicamous Prov,"4,046","4,019","4,143","4,051","3,935","3,774","3,763","3,744","3,798","3,831"
Capital,RCMP Municipal,Sidney Mun,"11,458","11,469","11,392","11,359","11,291","11,197","11,204","11,181","11,097","11,065"
Capital,RCMP Provincial,Sidney Prov,"3,409","3,392","3,455","3,473","3,482","3,508","3,516","3,516","3,555","3,553"
Central Kootenay,RCMP Provincial,Slocan Lake Prov (5),"1,947","1,952","1,986","1,976","1,961","1,949","1,950","1,954","1,974","2,005"
Bulkley Nechako,RCMP Municipal,Smithers Mun,"5,292","5,224","5,325","5,386","5,487","5,490","5,366","5,210","5,075","4,932"
Bulkley Nechako,RCMP Provincial,Smithers Prov,"7,479","7,380","7,459","7,452","7,488","7,568","7,608","7,677","7,857","7,899"
Capital,RCMP Municipal,Sooke Mun,"10,084","10,480","10,713","11,006","11,482","11,684","11,854","12,005","12,165","12,181"
Capital,RCMP Provincial,Sooke Prov,"4,451","4,429","4,511","4,535","4,547","4,580","4,590","4,591","4,641","4,639"
Okanagan Similkameen,RCMP Provincial,South Okanagan/Oliver (16),"8,384","8,532","8,756","9,008","8,744","8,709","8,626","8,585","8,503","8,500"
Okanagan Similkameen,RCMP Provincial,South Okanagan/Osoyoos (16),"7,313","7,382","7,433","7,500","7,372","7,305","7,229","7,208","7,159","7,201"
North Okanagan,RCMP Municipal,Spallumcheen Mun (3),-,-,-,-,-,-,"5,080","5,057","5,166","5,207"
Squamish Lillooet,RCMP Municipal,Squamish Mun (1),"15,821","16,084","16,474","16,881","17,360","18,053","18,341","18,503","18,844","18,797"
Squamish Lillooet,RCMP Provincial,Squamish Prov,"2,003","1,977","1,960","1,950","1,927","1,948","1,977","1,978","1,965","1,932"
Kitimat Stikine,RCMP Provincial,Stewart Prov,496,479,507,487,490,495,431,433,425,422
Squamish Lillooet,First Nations Aboriginal Police Service,Stl'atl'imx FNAPS (17),"2,991","2,954","2,951","2,946","2,914","2,988","3,133","3,129","3,069","3,002"
Okanagan Similkameen,RCMP Municipal,Summerland Mun,"10,896","11,080","11,282","11,472","11,295","11,376","11,105","11,024","11,095","11,267"
Sunshine Coast,RCMP Provincial,Sunshine Coast Prov (18),"19,430","19,522","19,625","19,622","19,456","19,525","18,628","18,660","18,784","18,618"
Metro Vancouver,RCMP Municipal,Surrey Mun (19),"412,922","424,999","438,698","453,356","470,649","482,904","495,150","506,099","515,936","526,307"
Bulkley Nechako,RCMP Provincial,Takla Landing Prov,185,183,184,185,185,186,187,190,195,197
