STATISTIC,REGION,TYPE OF POLICING,POLICING JURISDICTION,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Drug Offenses,Peace River,RCMP Provincial,Chetwynd Prov,93.00,77.00,59.00,29.00,67.00,48.00,15.00,29.00,32.00,33.00
Drug Offenses,Fraser Valley,RCMP Municipal,Chilliwack Mun (1),339.00,317.00,283.00,294.00,374.00,449.00,432.00,424.00,340.00,334.00
Drug Offenses,Fraser Valley,RCMP Provincial,Chilliwack Prov,15.00,73.00,46.00,58.00,40.00,50.00,67.00,47.00,32.00,40.00
Drug Offenses,Thompson Nicola,RCMP Provincial,Clearwater Prov,70.00,149.00,126.00,58.00,50.00,52.00,67.00,42.00,91.00,44.00
Drug Offenses,Thompson Nicola,RCMP Provincial,Clinton Prov,13.00,25.00,25.00,33.00,39.00,20.00,40.00,26.00,26.00,43.00
Drug Offenses,North Okanagan,RCMP Municipal,Coldstream Mun,13.00,17.00,12.00,22.00,18.00,26.00,20.00,8.00,20.00,23.00
Drug Offenses,East Kootenay,RCMP Provincial,Columbia Valley Prov,82.00,69.00,44.00,35.00,67.00,58.00,63.00,66.00,69.00,55.00
Drug Offenses,Capital,RCMP Municipal,Colwood Mun,45.00,34.00,37.00,39.00,47.00,45.00,53.00,92.00,70.00,96.00
Drug Offenses,Comox Valley,RCMP Municipal,Comox Mun,34.00,33.00,31.00,27.00,15.00,27.00,29.00,48.00,46.00,21.00
Drug Offenses,Comox Valley,RCMP Provincial,Comox Valley Prov,178.00,131.00,123.00,114.00,134.00,152.00,136.00,122.00,91.00,73.00
Drug Offenses,Metro Vancouver,RCMP Municipal,Coquitlam Mun (1),368.00,547.00,531.00,450.00,468.00,530.00,514.00,566.00,499.00,389.00
Drug Offenses,Metro Vancouver,RCMP Provincial,Coquitlam Prov,15.00,7.00,7.00,11.00,13.00,5.00,21.00,16.00,7.00,13.00
Drug Offenses,Comox Valley,RCMP Municipal,Courtenay Mun,340.00,279.00,231.00,181.00,125.00,187.00,206.00,181.00,116.00,127.00
Drug Offenses,East Kootenay,RCMP Municipal,Cranbrook Mun,116.00,154.00,178.00,167.00,165.00,157.00,154.00,127.00,131.00,105.00
Drug Offenses,East Kootenay,RCMP Provincial,Cranbrook Prov,21.00,29.00,27.00,38.00,59.00,30.00,43.00,38.00,36.00,40.00
Drug Offenses,Central Kootenay,RCMP Municipal,Creston Mun (6),,,,,,,35.00,42.00,33.00,30.00
Drug Offenses,Central Kootenay,RCMP Provincial,Creston Prov (6),87.00,69.00,76.00,75.00,107.00,107.00,78.00,58.00,103.00,87.00
Drug Offenses,Peace River,RCMP Municipal,Dawson Creek Mun,158.00,198.00,132.00,96.00,137.00,132.00,93.00,126.00,86.00,87.00
Drug Offenses,Peace River,RCMP Provincial,Dawson Creek Prov,79.00,36.00,29.00,27.00,17.00,36.00,37.00,30.00,22.00,16.00
Drug Offenses,Kitimat Stikine,RCMP Provincial,Dease Lake Prov,14.00,14.00,8.00,6.00,5.00,10.00,12.00,35.00,44.00,11.00
Drug Offenses,Metro Vancouver,Independent Municipal,Delta Mun (1),335.00,536.00,377.00,465.00,705.00,615.00,538.00,484.00,447.00,406.00
Drug Offenses,Cowichan Valley,RCMP Provincial,Duncan Prov,86.00,104.00,121.00,171.00,193.00,208.00,149.00,152.00,140.00,158.00
Drug Offenses,East Kootenay,RCMP Provincial,Elk Valley Prov (7),64.00,62.00,67.00,83.00,133.00,64.00,73.00,48.00,57.00,38.00
Drug Offenses,North Okanagan,RCMP Provincial,Enderby Prov,77.00,137.00,54.00,30.00,30.00,32.00,37.00,43.00,26.00,22.00
Drug Offenses,Columbia Shuswap,RCMP Provincial,Falkland Prov,16.00,14.00,15.00,21.00,13.00,19.00,17.00,9.00,3.00,6.00
Drug Offenses,Bulkley Nechako,RCMP Provincial,Fort St James Prov,67.00,77.00,46.00,44.00,46.00,53.00,40.00,59.00,28.00,29.00
Drug Offenses,Peace River,RCMP Municipal,Fort St John Mun,315.00,321.00,274.00,158.00,169.00,200.00,137.00,167.00,163.00,118.00
Drug Offenses,Peace River,RCMP Provincial,Fort St John Prov,63.00,40.00,45.00,22.00,31.00,24.00,31.00,46.00,37.00,24.00
Drug Offenses,Bulkley Nechako,RCMP Provincial,Fraser Lake Prov,29.00,9.00,12.00,37.00,30.00,20.00,16.00,30.00,19.00,15.00
Drug Offenses,Nanaimo,RCMP Provincial,Gabriola Island Prov,6.00,19.00,17.00,24.00,31.00,10.00,13.00,15.00,7.00,18.00
Drug Offenses,Columbia Shuswap,RCMP Provincial,Golden Prov,73.00,105.00,133.00,181.00,159.00,158.00,92.00,92.00,104.00,80.00
Drug Offenses,Fraser Valley,RCMP Municipal,Hope Mun,107.00,105.00,105.00,81.00,107.00,85.00,120.00,112.00,74.00,85.00
Drug Offenses,Fraser Valley,RCMP Provincial,Hope  Prov,45.00,50.00,29.00,22.00,32.00,26.00,22.00,48.00,25.00,22.00
Drug Offenses,Bulkley Nechako,RCMP Provincial,Houston/Granisle Prov (8),42.00,46.00,41.00,47.00,30.00,27.00,28.00,16.00,13.00,16.00
Drug Offenses,Peace River,RCMP Provincial,Hudson's Hope Prov,5.00,4.00,4.00,7.00,11.00,19.00,33.00,7.00,11.00,8.00
Drug Offenses,Thompson Nicola,RCMP Municipal,Kamloops Mun,373.00,552.00,588.00,405.00,631.00,743.00,851.00,851.00,736.00,653.00
Drug Offenses,Central Kootenay,RCMP Provincial,Kaslo Prov (5),60.00,29.00,37.00,30.00,27.00,24.00,11.00,18.00,4.00,12.00
Drug Offenses,Central Okanagan,RCMP Municipal,Kelowna Mun,734.00,817.00,777.00,670.00,722.00,845.00,863.00,"1,294.00","1,380.00","1,174.00"
Drug Offenses,Central Okanagan,RCMP Provincial,"Kelowna Prov (9,10)",135.00,125.00,151.00,67.00,109.00,100.00,99.00,77.00,70.00,58.00
Drug Offenses,Fraser Valley,RCMP Municipal,Kent Mun (2),,,,21.00,29.00,47.00,40.00,43.00,25.00,15.00
Drug Offenses,Okanagan Similkameen,RCMP Provincial,Keremeos Prov,12.00,23.00,22.00,26.00,25.00,29.00,36.00,38.00,27.00,18.00
Drug Offenses,East Kootenay,RCMP Municipal,Kimberley Mun,41.00,36.00,33.00,34.00,36.00,40.00,43.00,29.00,25.00,25.00
Drug Offenses,East Kootenay,RCMP Provincial,Kimberley Prov,10.00,14.00,7.00,5.00,16.00,4.00,8.00,8.00,9.00,14.00
Drug Offenses,Kitimat Stikine,RCMP Municipal,Kitimat Mun,65.00,65.00,43.00,21.00,31.00,39.00,60.00,64.00,54.00,34.00
Drug Offenses,Kitimat Stikine,RCMP Provincial,Kitimat Prov,8.00,7.00,6.00,3.00,5.00,1.00,4.00,9.00,5.00,7.00
Drug Offenses,Cowichan Valley,RCMP Municipal,Ladysmith Mun,23.00,39.00,25.00,49.00,45.00,39.00,32.00,39.00,60.00,28.00
Drug Offenses,Cowichan Valley,RCMP Provincial,Ladysmith Prov,37.00,30.00,38.00,22.00,28.00,15.00,31.00,57.00,33.00,24.00
Drug Offenses,Central Okanagan,RCMP Municipal,Lake Country Mun,32.00,55.00,35.00,51.00,43.00,74.00,66.00,48.00,43.00,34.00
Drug Offenses,Cowichan Valley,RCMP Provincial,Lake Cowichan Prov,73.00,46.00,44.00,90.00,82.00,76.00,49.00,50.00,36.00,46.00
Drug Offenses,Capital,RCMP Municipal,Langford Mun,116.00,105.00,115.00,120.00,123.00,142.00,168.00,168.00,142.00,157.00
Drug Offenses,Metro Vancouver,RCMP Municipal,Langley City Mun,283.00,245.00,255.00,287.00,238.00,277.00,247.00,239.00,259.00,279.00
Drug Offenses,Metro Vancouver,RCMP Municipal,Langley Township Mun (1),513.00,727.00,472.00,446.00,444.00,456.00,462.00,406.00,483.00,403.00
Drug Offenses,Squamish Lillooet,RCMP Provincial,Lillooet Prov,24.00,40.00,36.00,41.00,77.00,48.00,37.00,44.00,50.00,23.00
Drug Offenses,Kitimat Stikine,RCMP Provincial,Lisims/Nass Valley Prov,30.00,27.00,21.00,15.00,13.00,2.00,27.00,16.00,11.00,5.00
Drug Offenses,Thompson Nicola,RCMP Provincial,Logan Lake Prov,24.00,11.00,14.00,13.00,23.00,22.00,18.00,19.00,13.00,14.00
Drug Offenses,North Okanagan,RCMP Provincial,Lumby Prov,52.00,49.00,32.00,24.00,22.00,26.00,18.00,18.00,23.00,14.00
Drug Offenses,Thompson Nicola,RCMP Provincial,Lytton Prov,14.00,30.00,29.00,17.00,36.00,17.00,33.00,35.00,30.00,24.00
Drug Offenses,Fraser Fort George,RCMP Provincial,Mackenzie Prov,145.00,105.00,38.00,64.00,82.00,93.00,62.00,44.00,61.00,42.00
Drug Offenses,Metro Vancouver,RCMP Municipal,Maple Ridge Mun (1)(11),349.00,351.00,306.00,218.00,203.00,274.00,291.00,243.00,205.00,267.00
Drug Offenses,North Coast Regional District (22),RCMP Provincial,Masset Prov,54.00,40.00,13.00,19.00,33.00,27.00,19.00,14.00,7.00,10.00
Drug Offenses,Fraser Fort George,RCMP Provincial,McBride Prov,33.00,16.00,14.00,10.00,14.00,12.00,18.00,19.00,19.00,42.00
Drug Offenses,Thompson Nicola,RCMP Municipal,Merritt Mun,111.00,95.00,54.00,70.00,95.00,99.00,143.00,142.00,140.00,95.00
Drug Offenses,Thompson Nicola,RCMP Provincial,Merritt Prov,33.00,26.00,21.00,55.00,60.00,67.00,92.00,71.00,73.00,63.00
Drug Offenses,Fraser Valley,RCMP Municipal,Mission Mun,216.00,225.00,239.00,286.00,348.00,318.00,365.00,329.00,222.00,171.00
Drug Offenses,Fraser Valley,RCMP Provincial,Mission Prov,26.00,28.00,17.00,14.00,30.00,27.00,23.00,11.00,13.00,4.00
Drug Offenses,Central Kootenay,RCMP Provincial,Nakusp Prov (5),16.00,16.00,17.00,23.00,21.00,41.00,38.00,20.00,16.00,13.00
Drug Offenses,Nanaimo,RCMP Municipal,Nanaimo Mun (1),532.00,549.00,629.00,705.00,693.00,622.00,682.00,590.00,604.00,515.00
Drug Offenses,Nanaimo,RCMP Provincial,Nanaimo Prov,16.00,44.00,38.00,37.00,47.00,53.00,49.00,41.00,38.00,36.00
Drug Offenses,Central Kootenay,Independent Municipal,Nelson Mun,61.00,70.00,72.00,97.00,131.00,155.00,132.00,155.00,74.00,77.00
Drug Offenses,Central Kootenay,RCMP Provincial,Nelson Prov (5),92.00,67.00,83.00,109.00,99.00,100.00,99.00,48.00,58.00,60.00
Drug Offenses,Kitimat Stikine,RCMP Provincial,New Hazelton Prov,91.00,63.00,94.00,86.00,72.00,46.00,57.00,67.00,58.00,51.00
Drug Offenses,Metro Vancouver,Independent Municipal,New Westminster Mun,549.00,607.00,508.00,394.00,415.00,500.00,400.00,437.00,312.00,320.00
Drug Offenses,Strathcona,RCMP Provincial,Nootka Sound Prov,18.00,24.00,19.00,30.00,53.00,46.00,41.00,49.00,14.00,23.00
Drug Offenses,Cowichan Valley,RCMP Municipal,North Cowichan Mun,94.00,114.00,186.00,194.00,231.00,251.00,213.00,169.00,166.00,190.00
Drug Offenses,Capital,RCMP Municipal,North Saanich Mun,44.00,44.00,55.00,49.00,30.00,57.00,44.00,42.00,64.00,36.00
Drug Offenses,Metro Vancouver,RCMP Municipal,"North Vancouver City Mun (12,13)",290.00,326.00,254.00,212.00,351.00,366.00,373.00,295.00,264.00,244.00
Drug Offenses,Metro Vancouver,RCMP Municipal,North Vancouver District Mun (12),227.00,252.00,222.00,207.00,245.00,308.00,241.00,257.00,215.00,187.00
Drug Offenses,Metro Vancouver,RCMP Provincial,"North Vancouver Prov (1,12,13)",16.00,27.00,22.00,21.00,42.00,44.00,33.00,34.00,33.00,21.00
Drug Offenses,Northern Rockies,RCMP Municipal,Northern Rockies Mun (14),,,,,,,,44.00,42.00,63.00
Drug Offenses,Northern Rockies,RCMP Provincial,Northern Rockies Prov (14),153.00,121.00,66.00,77.00,84.00,126.00,107.00,24.00,8.00,5.00
Drug Offenses,Capital,Independent Municipal,Oak Bay Mun,18.00,20.00,24.00,26.00,23.00,29.00,36.00,30.00,47.00,35.00
Drug Offenses,Nanaimo,RCMP Provincial,Oceanside Prov ,96.00,83.00,52.00,84.00,112.00,116.00,115.00,117.00,124.00,77.00
Drug Offenses,Cariboo,RCMP Provincial,One Hundred Mile House Prov,77.00,75.00,106.00,128.00,97.00,89.00,81.00,64.00,73.00,60.00
Drug Offenses,Capital,RCMP Provincial,Outer Gulf  Islands Prov,18.00,7.00,2.00,6.00,8.00,6.00,2.00,18.00,6.00,13.00
Drug Offenses,Nanaimo,RCMP Municipal,Parksville Mun,57.00,78.00,73.00,47.00,60.00,95.00,76.00,64.00,54.00,65.00
Drug Offenses,Central Okanagan,RCMP Municipal,Peachland Mun (10),,,,,,,11.00,9.00,6.00,10.00
Drug Offenses,Squamish Lillooet,RCMP Provincial,Pemberton Prov,36.00,25.00,73.00,35.00,37.00,40.00,41.00,39.00,55.00,54.00
Drug Offenses,Okanagan Similkameen,RCMP Municipal,Penticton Mun,235.00,258.00,228.00,159.00,204.00,244.00,252.00,200.00,228.00,201.00
Drug Offenses,Okanagan Similkameen,RCMP Provincial,Penticton Prov,42.00,43.00,40.00,30.00,36.00,21.00,32.00,26.00,38.00,23.00
Drug Offenses,Metro Vancouver,RCMP Municipal,Pitt Meadows Mun (11),38.00,48.00,57.00,34.00,37.00,29.00,39.00,34.00,18.00,43.00
Drug Offenses,Alberni Clayoquot,RCMP Municipal,Port Alberni Mun,151.00,128.00,133.00,108.00,102.00,172.00,124.00,116.00,120.00,82.00
Drug Offenses,Alberni Clayoquot,RCMP Provincial,Port Alberni Prov,25.00,50.00,31.00,28.00,32.00,41.00,24.00,27.00,27.00,15.00
Drug Offenses,Mount Waddington,RCMP Provincial,Port Alice Prov,15.00,7.00,8.00,8.00,9.00,10.00,4.00,8.00,6.00,11.00
Drug Offenses,Metro Vancouver,RCMP Municipal,Port Coquitlam Mun (1),207.00,218.00,235.00,204.00,271.00,233.00,296.00,271.00,223.00,200.00
Drug Offenses,Mount Waddington,RCMP Provincial,Port Hardy Prov,81.00,42.00,31.00,29.00,41.00,40.00,36.00,33.00,63.00,26.00
Drug Offenses,Mount Waddington,RCMP Provincial,Port McNeill Prov,54.00,54.00,38.00,34.00,24.00,70.00,33.00,61.00,35.00,20.00
Drug Offenses,Metro Vancouver,Independent Municipal,Port Moody Mun,123.00,125.00,166.00,162.00,185.00,296.00,249.00,168.00,154.00,123.00
Drug Offenses,Powell River,RCMP Municipal,Powell River Mun,123.00,63.00,62.00,61.00,62.00,93.00,79.00,88.00,87.00,66.00
Drug Offenses,Powell River,RCMP Provincial,Powell River Prov,53.00,26.00,29.00,27.00,18.00,22.00,24.00,33.00,23.00,11.00
Drug Offenses,Fraser Fort George,RCMP Municipal,Prince George Mun,409.00,455.00,519.00,532.00,588.00,642.00,471.00,526.00,647.00,679.00
Drug Offenses,Fraser Fort George,RCMP Provincial,Prince George Prov,55.00,39.00,52.00,70.00,110.00,87.00,81.00,76.00,65.00,83.00
Drug Offenses,North Coast Regional District (22),RCMP Municipal,Prince Rupert Mun,151.00,129.00,155.00,146.00,155.00,167.00,117.00,176.00,137.00,163.00
Drug Offenses,North Coast Regional District (22),RCMP Provincial,Prince Rupert Prov (15),17.00,19.00,21.00,11.00,10.00,12.00,13.00,24.00,9.00,8.00
Drug Offenses,Okanagan Similkameen,RCMP Provincial,Princeton Prov,88.00,62.00,46.00,76.00,56.00,62.00,59.00,49.00,43.00,28.00
Drug Offenses,Strathcona,RCMP Provincial,Quadra Island Prov,22.00,43.00,17.00,17.00,27.00,21.00,12.00,12.00,14.00,17.00
Drug Offenses,Nanaimo,RCMP Municipal,Qualicum Beach Mun,12.00,26.00,31.00,9.00,18.00,24.00,25.00,11.00,12.00,8.00
Drug Offenses,North Coast Regional District (22),RCMP Provincial,Queen Charlotte Prov,49.00,13.00,22.00,10.00,7.00,12.00,15.00,21.00,33.00,21.00
Drug Offenses,Cariboo,RCMP Municipal,Quesnel Mun,74.00,114.00,107.00,89.00,117.00,128.00,159.00,161.00,152.00,138.00
Drug Offenses,Cariboo,RCMP Provincial,Quesnel Prov,24.00,32.00,66.00,44.00,62.00,34.00,60.00,76.00,52.00,40.00
Drug Offenses,Columbia Shuswap,RCMP Municipal,Revelstoke Mun,97.00,90.00,82.00,83.00,102.00,105.00,126.00,167.00,120.00,73.00
Drug Offenses,Columbia Shuswap,RCMP Provincial,Revelstoke Prov,29.00,38.00,41.00,37.00,88.00,115.00,92.00,141.00,117.00,43.00
Drug Offenses,Metro Vancouver,RCMP Municipal,Richmond Mun,960.00,"1,122.00","1,086.00","1,203.00","1,280.00","1,167.00",887.00,939.00,779.00,820.00
Drug Offenses,Metro Vancouver,RCMP Provincial,"Ridge Meadows Prov (11,13)",3.00,1.00,20.00,46.00,60.00,74.00,73.00,93.00,61.00,7.00
Drug Offenses,Capital,Independent Municipal,Saanich Mun,274.00,278.00,236.00,210.00,218.00,223.00,249.00,229.00,146.00,96.00
Drug Offenses,Central Kootenay,RCMP Provincial,Salmo Prov (5),39.00,34.00,41.00,89.00,151.00,184.00,121.00,168.00,106.00,105.00
Drug Offenses,Columbia Shuswap,RCMP Municipal,Salmon Arm Mun,90.00,109.00,122.00,109.00,174.00,205.00,150.00,149.00,134.00,86.00
Drug Offenses,Columbia Shuswap,RCMP Provincial,Salmon Arm Prov,54.00,37.00,28.00,54.00,65.00,61.00,43.00,51.00,35.00,40.00
Drug Offenses,Capital,RCMP Provincial,Saltspring Island Prov,58.00,75.00,35.00,37.00,45.00,15.00,21.00,12.00,21.00,26.00
Drug Offenses,Strathcona,RCMP Provincial,Sayward Prov,32.00,74.00,46.00,12.00,17.00,13.00,6.00,28.00,14.00,8.00
Drug Offenses,Sunshine Coast,RCMP Municipal,Sechelt Mun,60.00,95.00,106.00,71.00,63.00,59.00,44.00,51.00,46.00,42.00
Drug Offenses,Cowichan Valley,RCMP Provincial,Shawnigan Lake Prov,45.00,77.00,101.00,117.00,80.00,105.00,123.00,107.00,74.00,69.00
Drug Offenses,Columbia Shuswap,RCMP Provincial,Sicamous Prov,40.00,27.00,24.00,33.00,36.00,39.00,43.00,28.00,15.00,24.00
Drug Offenses,Capital,RCMP Municipal,Sidney Mun,80.00,87.00,81.00,61.00,47.00,56.00,52.00,58.00,67.00,45.00
Drug Offenses,Capital,RCMP Provincial,Sidney Prov,18.00,23.00,11.00,14.00,10.00,21.00,15.00,19.00,19.00,18.00
Drug Offenses,Central Kootenay,RCMP Provincial,Slocan Lake Prov (5),23.00,19.00,31.00,32.00,46.00,48.00,33.00,13.00,3.00,14.00
Drug Offenses,Bulkley Nechako,RCMP Municipal,Smithers Mun,119.00,110.00,85.00,142.00,102.00,82.00,61.00,63.00,40.00,35.00
Drug Offenses,Bulkley Nechako,RCMP Provincial,Smithers Prov,27.00,35.00,17.00,33.00,17.00,26.00,16.00,24.00,16.00,17.00
Drug Offenses,Capital,RCMP Municipal,Sooke Mun,67.00,88.00,98.00,97.00,97.00,68.00,66.00,85.00,76.00,71.00
Drug Offenses,Capital,RCMP Provincial,Sooke Prov,27.00,15.00,25.00,25.00,20.00,37.00,28.00,30.00,18.00,18.00
Drug Offenses,Okanagan Similkameen,RCMP Provincial,South Okanagan/Oliver (16),68.00,63.00,63.00,52.00,52.00,60.00,73.00,65.00,44.00,37.00
Drug Offenses,Okanagan Similkameen,RCMP Provincial,South Okanagan/Osoyoos (16),50.00,54.00,65.00,82.00,81.00,80.00,70.00,81.00,98.00,66.00
Drug Offenses,North Okanagan,RCMP Municipal,Spallumcheen Mun (3),,,,,,,24.00,19.00,11.00,10.00
Drug Offenses,Squamish Lillooet,RCMP Municipal,Squamish Mun (1),167.00,154.00,154.00,135.00,178.00,139.00,136.00,209.00,185.00,174.00
Drug Offenses,Squamish Lillooet,RCMP Provincial,Squamish Prov,13.00,9.00,20.00,35.00,20.00,10.00,20.00,15.00,17.00,21.00
Drug Offenses,Kitimat Stikine,RCMP Provincial,Stewart Prov,5.00,9.00,31.00,3.00,31.00,7.00,35.00,23.00,12.00,8.00
Drug Offenses,Squamish Lillooet,First Nations Aboriginal Police Service,Stl'atl'imx FNAPS (17),26.00,26.00,22.00,16.00,18.00,27.00,36.00,35.00,24.00,15.00
Drug Offenses,Okanagan Similkameen,RCMP Municipal,Summerland Mun,76.00,51.00,54.00,48.00,58.00,32.00,54.00,72.00,78.00,28.00
Drug Offenses,Sunshine Coast,RCMP Provincial,Sunshine Coast Prov (18),120.00,177.00,143.00,150.00,133.00,124.00,82.00,86.00,64.00,48.00
Drug Offenses,Metro Vancouver,RCMP Municipal,Surrey Mun (19),"2,641.00","2,714.00","2,710.00","2,310.00","2,418.00","2,221.00","1,997.00","2,376.00","2,560.00","2,794.00"
Drug Offenses,Bulkley Nechako,RCMP Provincial,Takla Landing Prov,2.00,1.00,2.00,1.00,6.00,5.00,5.00,1.00,4.00,2.00
Drug Offenses,Kitimat Stikine,RCMP Municipal,Terrace Mun,86.00,86.00,70.00,70.00,77.00,106.00,81.00,102.00,115.00,77.00
Drug Offenses,Kitimat Stikine,RCMP Provincial,Terrace Prov,47.00,45.00,36.00,19.00,30.00,29.00,52.00,40.00,32.00,30.00
Drug Offenses,Powell River,RCMP Provincial,Texada Island Prov,36.00,26.00,27.00,82.00,64.00,16.00,11.00,14.00,12.00,8.00
Drug Offenses,Thompson Nicola,RCMP Provincial,T'Kumlups Prov,91.00,74.00,38.00,49.00,76.00,81.00,84.00,124.00,100.00,88.00
Drug Offenses,Alberni Clayoquot,RCMP Provincial,Tofino Prov,48.00,24.00,34.00,33.00,53.00,32.00,25.00,23.00,14.00,10.00
Drug Offenses,Kootenay Boundary,RCMP Municipal,Trail Mun,45.00,35.00,60.00,74.00,73.00,71.00,63.00,72.00,54.00,36.00
Drug Offenses,Kootenay Boundary,RCMP Provincial,"Trail and Greater District (5,20)",31.00,14.00,38.00,32.00,48.00,61.00,43.00,62.00,30.00,51.00
Drug Offenses,Fraser Fort George,RCMP Provincial,Tsay Keh Dene Prov,19.00,2.00,3.00,2.00,3.00,5.00,5.00,7.00,5.00,3.00
Drug Offenses,Peace River,RCMP Provincial,Tumbler Ridge Prov,63.00,39.00,24.00,29.00,24.00,14.00,11.00,12.00,7.00,15.00
Drug Offenses,Alberni Clayoquot,RCMP Provincial,Ucluelet Prov,51.00,42.00,25.00,42.00,82.00,51.00,23.00,13.00,20.00,12.00
Drug Offenses,Metro Vancouver,RCMP Provincial,University Prov,102.00,104.00,109.00,142.00,219.00,296.00,155.00,217.00,94.00,65.00
Drug Offenses,Fraser Fort George,RCMP Provincial,Valemount Prov,33.00,73.00,27.00,27.00,30.00,30.00,44.00,63.00,81.00,30.00
Drug Offenses,Metro Vancouver,Independent Municipal,Vancouver Mun (1),"3,933.00","5,233.00","5,281.00","3,199.00","3,194.00","2,810.00","2,630.00","3,108.00","3,042.00","2,709.00"
Drug Offenses,Bulkley Nechako,RCMP Provincial,Vanderhoof Prov,69.00,59.00,57.00,68.00,68.00,77.00,78.00,62.00,41.00,53.00
Drug Offenses,North Okanagan,RCMP Municipal,Vernon Mun,260.00,309.00,251.00,252.00,283.00,306.00,317.00,296.00,348.00,245.00
Drug Offenses,North Okanagan,RCMP Provincial,Vernon Prov,39.00,40.00,26.00,37.00,30.00,33.00,51.00,29.00,33.00,27.00
Drug Offenses,Capital,Independent Municipal,Victoria Mun (21),685.00,782.00,823.00,738.00,910.00,934.00,802.00,643.00,700.00,598.00
Drug Offenses,Capital,RCMP Municipal,View Royal Mun,27.00,31.00,21.00,27.00,32.00,34.00,41.00,55.00,22.00,35.00
Drug Offenses,Cariboo,RCMP Provincial,Wells Prov,2.00,2.00,2.00,1.00,2.00,3.00,3.00,1.00,5.00,1.00
Drug Offenses,Central Okanagan,RCMP Municipal,West Kelowna Mun (9),,,,82.00,109.00,109.00,112.00,116.00,80.00,74.00
Drug Offenses,Capital,RCMP Provincial,West Shore Prov,21.00,14.00,28.00,23.00,27.00,27.00,27.00,16.00,29.00,20.00
Drug Offenses,Metro Vancouver,Independent Municipal,West Vancouver Mun (1),121.00,159.00,191.00,167.00,185.00,204.00,178.00,190.00,168.00,148.00
Drug Offenses,Squamish Lillooet,RCMP Municipal,Whistler Mun,208.00,263.00,178.00,179.00,243.00,203.00,198.00,184.00,192.00,259.00
Drug Offenses,Squamish Lillooet,RCMP Provincial,Whistler Prov,1.00,2.00,3.00,3.00,5.00,4.00,5.00,3.00,4.00,2.00
Drug Offenses,Metro Vancouver,RCMP Municipal,White Rock Mun,198.00,196.00,140.00,173.00,142.00,142.00,133.00,132.00,90.00,100.00
Drug Offenses,Cariboo,RCMP Municipal,Williams Lake Mun,125.00,166.00,186.00,186.00,259.00,200.00,176.00,208.00,185.00,141.00
Drug Offenses,Cariboo,RCMP Provincial,Williams Lake Prov,35.00,82.00,83.00,124.00,133.00,94.00,118.00,120.00,112.00,85.00
Population,Fraser Valley,Independent Municipal,Abbotsford Mun (1),"129,407.00","130,938.00","132,890.00","135,063.00","136,866.00","137,033.00","138,392.00","139,188.00","139,709.00","141,580.00"
Population,Fraser Valley,RCMP Provincial,Agassiz Prov (2),"9,317.00","9,352.00","9,530.00","3,902.00","3,847.00","3,833.00","3,810.00","3,862.00","3,851.00","3,648.00"
Population,Mount Waddington,RCMP Provincial,Alert Bay Prov,"1,447.00","1,425.00","1,425.00","1,398.00","1,379.00","1,370.00","1,356.00","1,356.00","1,359.00","1,352.00"
Population,Cariboo,RCMP Provincial,Alexis Creek Prov,"1,743.00","1,723.00","1,738.00","1,733.00","1,723.00","1,713.00","1,709.00","1,717.00","1,727.00","1,713.00"
Population,Cariboo,RCMP Provincial,Anahim Lake Prov,721.00,712.00,719.00,716.00,712.00,708.00,707.00,710.00,714.00,708.00
Population,North Okanagan,RCMP Provincial,Armstrong Prov (3),"9,833.00","9,920.00","10,154.00","10,417.00","10,479.00","10,495.00","5,474.00","5,464.00","5,399.00","5,472.00"
Population,Thompson Nicola,RCMP Provincial,Ashcroft Prov,"3,778.00","3,813.00","3,847.00","3,830.00","3,776.00","3,752.00","3,711.00","3,695.00","3,725.00","3,613.00"
Population,Kitimat Stikine,RCMP Provincial,Atlin Prov,717.00,738.00,440.00,427.00,414.00,406.00,422.00,437.00,429.00,417.00
Population,Thompson Nicola,RCMP Provincial,Barriere Prov,"3,810.00","3,816.00","3,897.00","3,947.00","3,888.00","3,878.00","3,916.00","3,911.00","3,969.00","3,865.00"
Population,Central Coast,RCMP Provincial,Bella Bella Prov (4),"1,617.00","1,596.00","1,585.00","1,588.00","1,609.00","1,639.00","1,648.00","1,633.00","1,638.00","1,640.00"
Population,Central Coast,RCMP Provincial,Bella Coola Prov,"1,923.00","1,900.00","1,875.00","1,880.00","1,916.00","1,962.00","1,951.00","1,922.00","1,912.00","1,918.00"
Population,Fraser Valley,RCMP Provincial,Boston Bar Prov,654.00,650.00,657.00,643.00,635.00,637.00,630.00,635.00,633.00,612.00
Population,Kootenay Boundary,RCMP Provincial,Boundary/Grand Forks Prov (5),"8,856.00","8,914.00","9,036.00","8,969.00","8,725.00","8,629.00","8,532.00","8,298.00","8,178.00","7,827.00"
Population,Kootenay Boundary,RCMP Provincial,Boundary/Midway Prov (5),"2,818.00","2,852.00","2,917.00","2,910.00","2,895.00","2,893.00","2,836.00","2,762.00","2,724.00","2,622.00"
Population,Metro Vancouver,RCMP Provincial,Bowen Island Prov,"3,460.00","3,457.00","3,454.00","3,423.00","3,427.00","3,405.00","3,457.00","3,470.00","3,487.00","3,546.00"
Population,Metro Vancouver,RCMP Municipal,Burnaby Mun,"210,400.00","214,617.00","218,157.00","223,008.00","227,469.00","229,228.00","233,127.00","234,507.00","234,774.00","238,209.00"
